Kecamatan,Desa,Harga,Kategori Harga Tanah,Pabrik,Kantor_Polisi,Kantor_Damkar,Rumah_Sakit,Puskesmas,Puskesmas_Pembantu,SPBU,Sekolah,Harga_min,Harga_max
Ambarawa,Baran,1500000,tinggi,3,1,0,2,1,2,1,118,1300000,1600000
Ambarawa,Bejalen,1400000,tinggi,3,1,0,2,1,2,1,118,1300000,1600000
Ambarawa,Kranggan,1400000,tinggi,3,1,0,2,1,2,1,118,1300000,1600000
Ambarawa,Kupang,1400000,tinggi,3,1,0,2,1,2,1,118,1300000,1600000
Ambarawa,Lodoyong,1400000,tinggi,3,1,0,2,1,2,1,118,1300000,1600000
Ambarawa,Ngampin,1500000,tinggi,3,1,0,2,1,2,1,118,1300000,1600000
Ambarawa,Panjang,1500000,tinggi,3,1,0,2,1,2,1,118,1300000,1600000
Ambarawa,Pasekan,1300000,sedang,3,1,0,2,1,2,1,118,1300000,1600000
Ambarawa,Pojoksari,1400000,tinggi,3,1,0,2,1,2,1,118,1300000,1600000
Ambarawa,Tambakboyo,1300000,sedang,3,1,0,2,1,2,1,118,1300000,1600000
Bancak,Bancak,900000,tinggi,0,1,0,0,1,3,1,53,700000,1000000
Bancak,Bantal,750000,rendah,0,1,0,0,1,3,1,53,700000,1000000
Bancak,Boto,900000,tinggi,0,1,0,0,1,3,1,53,700000,1000000
Bancak,Jlumpang,900000,tinggi,0,1,0,0,1,3,1,53,700000,1000000
Bancak,Lembu,800000,tinggi,0,1,0,0,1,3,1,53,700000,1000000
Bancak,Plumutan,900000,tinggi,0,1,0,0,1,3,1,53,700000,1000000
Bancak,Pucung,900000,tinggi,0,1,0,0,1,3,1,53,700000,1000000
Bancak,Rejosari,900000,tinggi,0,1,0,0,1,3,1,53,700000,1000000
Bancak,Wonokerto,800000,tinggi,0,1,0,0,1,3,1,53,700000,1000000
Bandungan,Bandungan,1100000,sedang,1,1,0,0,2,2,1,109,900000,1200000
Bandungan,Banyukuning,1050000,sedang,1,1,0,0,2,2,1,109,900000,1200000
Bandungan,Candi,1100000,sedang,1,1,0,0,2,2,1,109,900000,1200000
Bandungan,Duren,1100000,sedang,1,1,0,0,2,2,1,109,900000,1200000
Bandungan,Jetis,1050000,sedang,1,1,0,0,2,2,1,109,900000,1200000
Bandungan,Jimbaran,1200000,tinggi,1,1,0,0,2,2,1,109,900000,1200000
Bandungan,Kenteng,1050000,sedang,1,1,0,0,2,2,1,109,900000,1200000
Bandungan,Mlilir,1100000,sedang,1,1,0,0,2,2,1,109,900000,1200000
Bandungan,Pakopen,1200000,tinggi,1,1,0,0,2,2,1,109,900000,1200000
Bandungan,Sidomukti,1200000,tinggi,1,1,0,0,2,2,1,109,900000,1200000
Banyubiru,Banyubiru,1000000,tinggi,2,1,0,0,1,3,1,80,800000,1100000
Banyubiru,Gedong,1000000,tinggi,2,1,0,0,1,3,1,80,800000,1100000
Banyubiru,Kebondowo,950000,sedang,2,1,0,0,1,3,1,80,800000,1100000
Banyubiru,Kebumen,900000,sedang,2,1,0,0,1,3,1,80,800000,1100000
Banyubiru,Kemambang,1000000,tinggi,2,1,0,0,1,3,1,80,800000,1100000
Banyubiru,Ngrapah,900000,sedang,2,1,0,0,1,3,1,80,800000,1100000
Banyubiru,Rowoboni,900000,sedang,2,1,0,0,1,3,1,80,800000,1100000
Banyubiru,Sepakung,900000,sedang,2,1,0,0,1,3,1,80,800000,1100000
Banyubiru,Tegaron,1000000,tinggi,2,1,0,0,1,3,1,80,800000,1100000
Banyubiru,Wirogomo,900000,sedang,2,1,0,0,1,3,1,80,800000,1100000
Bawen,Asinan,1500000,sedang,20,1,0,0,1,2,2,92,1400000,1800000
Bawen,Bawen,1500000,sedang,20,1,0,0,1,2,2,92,1400000,1800000
Bawen,Doplang,1600000,tinggi,20,1,0,0,1,2,2,92,1400000,1800000
Bawen,Harjosari,1700000,tinggi,20,1,0,0,1,2,2,92,1400000,1800000
Bawen,Kandangan,1600000,tinggi,20,1,0,0,1,2,2,92,1400000,1800000
Bawen,Lemahireng,1600000,tinggi,20,1,0,0,1,2,2,92,1400000,1800000
Bawen,Polosiri,1500000,sedang,20,1,0,0,1,2,2,92,1400000,1800000
Bawen,Poncoruso,1500000,sedang,20,1,0,0,1,2,2,92,1400000,1800000
Bawen,Samban,1600000,tinggi,20,1,0,0,1,2,2,92,1400000,1800000
Bergas,Bergas Kidul,1200000,tinggi,56,1,0,1,1,4,2,108,900000,1200000
Bergas,Bergas Lor,1150000,sedang,56,1,0,1,1,4,2,108,900000,1200000
Bergas,Diwak,1100000,sedang,56,1,0,1,1,4,2,108,900000,1200000
Bergas,Gebugan,1150000,sedang,56,1,0,1,1,4,2,108,900000,1200000
Bergas,Gondoriyo,1200000,tinggi,56,1,0,1,1,4,2,108,900000,1200000
Bergas,Hutan,1150000,sedang,56,1,0,1,1,4,2,108,900000,1200000
Bergas,Jatijajar,1150000,sedang,56,1,0,1,1,4,2,108,900000,1200000
Bergas,Karangjati,1200000,tinggi,56,1,0,1,1,4,2,108,900000,1200000
Bergas,Munding,1150000,sedang,56,1,0,1,1,4,2,108,900000,1200000
Bergas,Ngempon,1200000,tinggi,56,1,0,1,1,4,2,108,900000,1200000
Bergas,Pagersari,1200000,tinggi,56,1,0,1,1,4,2,108,900000,1200000
Bergas,Randugunting,1100000,sedang,56,1,0,1,1,4,2,108,900000,1200000
Bergas,WringinPutih,1150000,sedang,56,1,0,1,1,4,2,108,900000,1200000
Bergas,Wujil,1100000,sedang,56,1,0,1,1,4,2,108,900000,1200000
Bringin,Banding,900000,sedang,0,1,0,0,1,4,1,102,700000,1000000
Bringin,Bringin,850000,rendah,0,1,0,0,1,4,1,102,700000,1000000
Bringin,Gogodalem,900000,sedang,0,1,0,0,1,4,1,102,700000,1000000
Bringin,Kalijambe,900000,sedang,0,1,0,0,1,4,1,102,700000,1000000
Bringin,Kalikurmo,900000,sedang,0,1,0,0,1,4,1,102,700000,1000000
Bringin,Lebak,950000,tinggi,0,1,0,0,1,4,1,102,700000,1000000
Bringin,Nyemoh,850000,rendah,0,1,0,0,1,4,1,102,700000,1000000
Bringin,Pakis,950000,tinggi,0,1,0,0,1,4,1,102,700000,1000000
